fname,lname,gender,age,exercise,hours,grade,address
Fiona,Higgins,female,18,1,11,77.5,"1 Magnolia Ave. , Satellite Beach, FL 32937"
Jemima,Vargas,female,17,1,8,74.9,"7166 Lakeshore Street , Greensboro, NC 27405"
Raven,Mendez,female,18,5,13,87.0,"578 West Snake Hill Drive , Hollywood, FL 33020"
Quintessa,Boyle,female,16,3,3,69.4,"Clinton, MD 20735, 79 Marlborough St. "
Kamal,Walton,male,14,1,17,100.0,"51 NW. Henry Smith St. , Morgantown, WV 26508"
Cassandra,Barton,female,18,4,12,79.5,"70 Bishop St. , Wilmington, MA 01887"
Hayes,Ellis,male,19,1,5,74.0,"56 Shirley Dr. , Houston, TX 77016"
Jana,Schroeder,female,14,5,9,82.6,"7337 SW. Golden Star Dr. , Inman, SC 29349"
Janna,King,female,15,1,6,77.0,"482 Carpenter Court , Apt 82 "
Britanni,Fletcher,female,15,1,10,80.7,"152 Summerhouse St. , Batavia, OH 45103"
Hanna,Dorsey,female,19,2,14,96.6,"365 Fawn Street , Gibsonia, PA 15044"
Honorato,Hogan,male,17,1,19,90.1,"513 North Hawthorne Dr. , Glendale, AZ 85302"
Jane,Reed,female,15,1,9,72.5,"Salisbury, MD 21801, 710 Walt Whitman Street "
Nita,Rios,female,19,1,15,80.4,"360 Strawberry St. , Mableton, GA 30126"
Zena,Kirk,female,18,3,12,89.0,"663 Old Cedar Ave. , Jackson, NJ 08527"
Cally,Garrison,female,17,3,7,84.7,"Hialeah, FL 33010, 48 Essex St. "
Nissim,Oconnor,male,16,5,14,94.7,"94 Glenholme St. , Neptune, NJ 07753"
Nicole,Webb,female,14,3,14,94.2,"77 W. Cedar Swamp Dr. , Andover, MA 01810"
Todd,Cunningham,male,16,1,16,81.4,"8585 San Pablo Drive , Munster, IN 46321"
Rina,Combs,female,17,3,13,84.2,"9 South Mammoth Street , Quincy, MA 02169"
Price,Tran,male,17,2,10,74.1,"8376 Golf Ave. , Fresh Meadows, NY 11365"
Shad,Walker,male,17,3,10,78.7,"907 Studebaker St. , Pearl, MS 39208"
Lysandra,Copeland,female,19,5,19,100.0,"Aiken, SC 29803, 7172 St Paul Street "
Rhiannon,Terrell,female,14,2,13,88.9,"Ephrata, PA 17522, 75 West Avenue "
Jackson,Williamson,male,15,1,10,75.3,"8255 Poor House Dr. , Anoka, MN 55303"
Leigh,Jones,female,18,3,4,74.5,"Cottage Grove, MN 55016, 9644 Shady Dr. "
Thor,Ramos,male,17,3,18,100.0,"Battle Creek, MI 49015, 65 St Paul St. "
Reese,Morales,male,19,2,8,71.2,"163 St Louis St. , Vista, CA 92083"
Ray,Randall,male,16,4,10,73.2,"572 Wagon St. , North Haven, CT 06473"
Tasha,Wilkins,female,15,4,16,99.2,"91 Mill Street , Media, PA 19063"
Yoko,Cain,female,16,4,16,96.5,"Savage, MN 55378, 599 Lyme Street "
Curran,Petersen,male,14,5,8,72.9,"304 S. Ketch Harbour St. , Wadsworth, OH 44281"
Garrison,Carson,male,17,4,6,81.2,"Largo, FL 33771, 7068 Hawthorne Street "
Judith,Perez,female,17,5,12,93.1,"Athens, GA 30605, 409 Rock Creek Lane "
Hammett,Rios,male,17,1,7,78.8,"318 Meadow St. , Carol Stream, IL 60188"
Flynn,Berger,male,17,2,10,84.9,"9493 Mulberry Rd. , Fernandina Beach, FL 32034"
Steven,Everett,male,17,3,12,79.3,"Ridgewood, NJ 07450, 9088 Longbranch Rd. "
Lucy,Rodriquez,female,16,2,10,79.6,"Athens, GA 30605, 144 Beechwood Ave. "
Orlando,Osborne,male,19,4,8,69.3,"482 Indian Spring St. , Ypsilanti, MI 48197"
Micah,Wolfe,male,14,4,11,83.2,"Cornelius, NC 28031, 477 St Margarets Avenue "
Lunea,Harper,female,17,4,11,92.3,"9476 Pawnee Ave. , Winston Salem, NC 27103"
Abbot,Hall,male,16,4,3,58.9,"Lewis Center, OH 43035, 279 Lake View Dr. "
Zia,Ratliff,female,19,2,19,88.4,"445 Shady St. , Pueblo, CO 81001"
Charissa,West,female,18,4,6,69.9,"74 Pacific St. , Liverpool, NY 13090"
Athena,Collins,female,17,1,4,71.3,"Grand Rapids, MI 49503, 26 Corona Street "
Fuller,Christian,male,15,5,9,82.0,"Pikesville, MD 21208, 9781 Linda Street "
Shelley,Nielsen,female,15,5,10,88.1,"436 West Bear Hill St. , Jonesboro, GA 30236"
Hamish,Carey,male,17,1,6,75.6,"171 Shub Farm Street , Millville, NJ 08332"
Jayme,Santiago,female,16,3,6,77.1,"306 Parker Dr. , Romulus, MI 48174"
Isaiah,Harrell,male,17,5,7,75.8,"7306 Annadale Drive , Lake Worth, FL 33460"
Rudyard,Horton,male,19,3,13,77.5,"Grove City, OH 43123, 7695 Washington St. "
Georgia,Hensley,female,16,5,11,87.4,"37 Lake Forest Lane , Crofton, MD 21114"
Nehru,Ballard,male,14,1,19,93.3,"39 Rockville Street , Elgin, IL 60120"
Ciara,Valdez,female,19,4,7,73.1,"Lincolnton, NC 28092, 7277 St Margarets Drive "
Keelie,Sparks,female,14,5,16,99.5,"Clarkston, MI 48348, 9073 N. College St. "
Evan,Ball,male,14,2,9,80.7,"323 West Paris Hill Lane , Sarasota, FL 34231"
Kadeem,Marshall,male,17,5,18,100.0,"79 Ashley Lane , Hattiesburg, MS 39401"
Luke,Santana,male,17,1,0,75.0,"339 E. Cambridge Ave. , Twin Falls, ID 83301"
Sara,Gonzalez,female,14,2,6,72.4,"Andover, MA 01810, 9362 Thorne Court "
Rhiannon,Douglas,female,16,3,15,82.5,"9165 Nicolls St. , Eau Claire, WI 54701"
Margaret,Mitchell,female,19,2,14,94.9,"726 Arnold Ave. , Mount Vernon, NY 10550"
Nomlanga,Hoover,female,18,1,11,80.0,"567 W. Mill Pond Lane , Hicksville, NY 11801"
Jescie,Horne,female,18,0,16,83.4,"8 Whitemarsh Court , Matawan, NJ 07747"
Claire,Wheeler,female,14,2,14,90.4,"9461 Lawrence St. , Buffalo Grove, IL 60089"
Madeson,Wilkins,female,15,4,16,98.0,"968 Riverview Street , Palos Verdes Peninsula, CA 90274"
Prescott,Kaufman,male,15,1,17,96.3,"7166 Mill Pond St. , Roslindale, MA 02131"
Kaitlin,Solomon,female,17,1,8,66.4,"New Port Richey, FL 34653, 8 West Pearl St. "
Yardley,Horne,male,18,1,10,79.6,"8756 North Oxford Dr. , Smithtown, NY 11787"
Hasad,Rice,male,19,4,16,95.9,"61 Church St. , Holbrook, NY 11741"
Tana,Rodgers,female,15,5,15,96.6,"93 Smith Store Court , Detroit, MI 48205"
Mufutau,Dawson,male,17,5,14,99.9,"375 Crescent St. , Eastpointe, MI 48021"
Paul,Haley,male,18,5,17,84.2,"85 Indian Spring Drive , Coventry, RI 02816"
Bryar,Melendez,female,18,5,12,93.4,"Amarillo, TX 79106, 471 Oak Valley Drive "
Arthur,Morse,male,19,1,14,80.2,"8651 West Fieldstone St. , Tallahassee, FL 32303"
Inga,Sharpe,female,17,1,5,74.1,"Wyandotte, MI 48192, 633 Fifth Ave. "
Steel,Solomon,male,16,4,13,87.3,"8939 Cambridge Street , Troy, NY 12180"
Brianna,Trevino,female,18,3,13,82.6,"8028 North Van Dyke Lane , Alpharetta, GA 30004"
Noah,Blanchard,male,14,2,14,88.1,"Cambridge, MA 02138, 19 Academy Street "
Kelsie,Diaz,female,15,4,15,93.9,"857 Country Club Drive , Greensburg, PA 15601"
Jacob,Finch,male,15,2,14,87.1,"4 Strawberry St. , Depew, NY 14043"
Baker,Winters,male,15,2,14,89.8,"Apt 36 , Winona, MN 55987"
Jael,Knapp,female,14,3,15,83.7,"44 North Marconi Ave. , Nampa, ID 83651"
Norman,Kinney,male,15,3,14,88.0,"22 S. Elm Lane , Menasha, WI 54952"
Jacob,Gray,male,15,3,17,100.0,"7874 Cherry Hill Ave. , Flushing, NY 11354"
Cynthia,Hurley,female,16,4,12,81.0,"Dorchester, MA 02125, 90 Maiden Street "
Elijah,Bell,male,19,5,16,88.4,"8064 White Drive , Hamilton, OH 45011"
Isaiah,Avery,male,15,3,9,82.3,"69 W. Carpenter Drive , Depew, NY 14043"
Miriam,Jacobson,female,17,2,10,77.8,"9931 W. Glenwood St. , Medford, MA 02155"
Hiroko,Koch,female,17,4,15,90.4,"Asheville, NC 28803, 7732 High Dr. "
Colton,Ochoa,male,17,1,4,60.3,"Dubuque, IA 52001, 43 Hamilton Road "
Caldwell,Dorsey,male,17,5,9,79.1,"83 Gulf Lane , Flemington, NJ 08822"
Pandora,Dickerson,female,15,2,3,70.5,"Xenia, OH 45385, 820 Fifth Rd. "
Thomas,Boyer,male,17,4,17,89.9,"681 Harvard Dr. , Encino, CA 91316"
Phelan,Mcmillan,male,17,3,17,98.0,"60 Middle River Dr. , Royal Oak, MI 48067"
Gabriel,Jordan,male,16,4,2,62.0,"973 White Rd. , Englishtown, NJ 07726"
Kamal,Dodson,male,17,4,7,77.6,"10 Glenridge St. , Orange Park, FL 32065"
Holmes,Lawson,male,18,2,16,98.7,"202 Second Lane , Chatsworth, GA 30705"
Preston,Church,male,17,1,8,66.1,"Dorchester, MA 02125, 18 Walt Whitman Dr. "
Chester,Becker,male,19,3,14,89.4,"Queensbury, NY 12804, 7978 Glenridge Street "
Quamar,Delaney,male,15,4,11,91.3,"38 East Bellevue Dr. , Macon, GA 31204"
Amery,Mcmahon,male,19,3,12,84.2,"63 Lancaster St. , Nicholasville, KY 40356"
Vance,Cherry,male,17,2,6,65.1,"98 Halifax Street , Arvada, CO 80003"
Lee,Ramsey,female,19,1,10,86.5,"1 SW. Old York Ave. , New Windsor, NY 12553"
Malik,Vega,male,19,2,10,72.3,"8319 Hillcrest Dr. , Hamden, CT 06514"
Dana,Weaver,female,14,3,6,67.3,"Buford, GA 30518, 7057 Fordham St. "
Kelly,Crane,male,14,2,8,80.6,"7833 Country Club Ave. , Medford, MA 02155"
Ryan,Petersen,male,16,5,11,81.3,"Suite 95 , Central Islip, NY 11722"
Brett,Wilkerson,male,18,2,7,76.0,"9559 Old Cedar St. , Vista, CA 92083"
Veda,Gilbert,female,18,4,12,82.5,"Bridgeport, CT 06606, 14 Rockland St. "
Ezekiel,Alexander,male,16,5,8,81.5,"9332 Canal St. , Hudsonville, MI 49426"
Ulla,Marshall,female,17,2,12,81.0,"Saugus, MA 01906, 443 North Boston Street "
Linda,Baldwin,female,16,5,2,59.0,"7765 Bishop Dr. , Perkasie, PA 18944"
Ulysses,Huber,male,14,1,7,66.6,"41 Thatcher Drive , Owensboro, KY 42301"
Tana,Frye,female,17,3,6,81.2,"8704 Wood Ave. , Cranford, NJ 07016"
Kaye,Potts,female,19,1,5,66.6,"87 Miller Ave. , Round Lake, IL 60073"
Marshall,Reeves,male,15,4,11,83.0,"7666 Myers Ave. , Los Banos, CA 93635"
Hedley,Rodriguez,male,15,3,8,78.3,"450 North Jefferson St. , Willoughby, OH 44094"
Gillian,Cunningham,female,19,5,13,82.9,"8365 N. Temple St. , Nutley, NJ 07110"
Nadine,Jacobson,female,17,4,11,75.5,"175 Bank St. , Butler, PA 16001"
Nathan,Ferrell,male,16,2,13,77.5,"150 S. Winding Way Avenue , Wheaton, IL 60187"
Amethyst,Christensen,female,15,5,6,80.4,"Banning, CA 92220, 651 Acacia Lane "
Nigel,Wilkins,male,19,5,10,90.0,"El Dorado, AR 71730, 89 Grand St. "
Nigel,Mclean,male,18,4,12,77.6,"24 North Paris Hill St. , Anderson, SC 29621"
Dara,Weber,female,15,3,11,85.7,"9643 Williams Street , Hartselle, AL 35640"
Neil,Beck,male,16,2,18,91.4,"7622 Lake St. , Meriden, CT 06450"
Mollie,Ryan,female,15,1,14,97.2,"102 Schoolhouse St. , Indian Trail, NC 28079"
Yolanda,Hanson,female,15,4,16,94.3,"Villa Rica, GA 30180, 293 Clark Dr. "
Sonia,Jacobson,female,18,1,14,88.2,"South Ozone Park, NY 11420, 328 North Court "
Dustin,Chambers,male,17,5,15,94.7,"Cocoa, FL 32927, 582 Manchester Ave. "
Berk,Austin,male,19,5,11,88.1,"Vineland, NJ 08360, 674 Lower River St. "
Scott,Snow,male,16,4,5,77.2,"Fuquay Varina, NC 27526, 442 Homestead Drive "
Nicole,Harrell,female,18,4,10,76.7,"8435 Carson Avenue , Warminster, PA 18974"
Myra,Wilkinson,female,14,5,14,86.2,"Cornelius, NC 28031, 66 Rock Creek Dr. "
Shoshana,Moses,female,14,3,13,87.4,"Media, PA 19063, 10 Spring Avenue "
Asher,Sloan,male,17,5,7,70.2,"Avon, IN 46123, 9 Miles St. "
Kaden,Grant,female,17,5,14,100.0,"Basking Ridge, NJ 07920, 8954 Glen Eagles Court "
Aaron,Knowles,male,16,4,11,88.7,"779 Bayport St. , Wheeling, WV 26003"
Chester,Stuart,male,19,2,5,65.3,"8371 Cross Ave. , Windsor, CT 06095"
Quin,Prince,female,18,5,15,92.4,"Newton, NJ 07860, 940 Gregory St. "
Jared,Randall,male,19,1,11,89.0,"Hamilton, OH 45011, 6 Shore Ave. "
September,Hoffman,female,16,3,11,82.8,"8632 Lincoln Street , Rahway, NJ 07065"
Maxwell,Carver,male,15,1,11,81.8,"West Babylon, NY 11704, 6 Heather Street "
Miranda,Donovan,female,16,2,4,63.7,"West Lafayette, IN 47906, 117 Shub Farm Drive "
Shaine,Harrell,female,14,1,11,90.3,"94 Chestnut St. , Aberdeen, SD 57401"
Craig,Sweeney,male,15,4,10,88.1,"875 Catherine Ave. , Crystal Lake, IL 60014"
Claudia,Bradshaw,female,19,4,10,80.4,"984 Ashley Lane , Randolph, MA 02368"
Adria,Bender,female,19,1,7,76.8,"322 East Park Rd. , Harrison Township, MI 48045"
Alfonso,Petersen,male,17,5,11,88.8,"Montgomery, AL 36109, 7211 Peninsula Drive "
Henry,Chang,male,18,2,16,94.6,"Atlanta, GA 30303, 722 Mammoth Drive "
Zachery,Dorsey,male,16,4,15,85.5,"9492 Holly Street , Arvada, CO 80003"
Barclay,Finley,male,18,4,11,86.9,"Stratford, CT 06614, 9955 Vine St. "
Audra,Stout,female,14,5,10,85.1,"73 Marshall Drive , Derry, NH 03038"
Ila,Mooney,female,14,5,12,93.8,"Portsmouth, VA 23703, 9978 North Lakeshore Rd. "
Felix,Spears,male,16,2,11,76.5,"84 Boston Lane , Longwood, FL 32779"
Roanna,Hoover,female,17,5,15,94.2,"285 North Marconi Dr. , West Orange, NJ 07052"
Audra,Murphy,female,18,1,12,74.2,"728 Parker Dr. , Des Moines, IA 50310"
Isaac,Gray,male,16,5,12,81.0,"7766 N. Colonial St. , Menasha, WI 54952"
Laura,Shannon,female,16,4,13,82.4,"West Lafayette, IN 47906, 3 Evergreen St. "
Myra,Parrish,female,19,5,15,100.0,"8641 Greystone Dr. , Parsippany, NJ 07054"
Iola,Fernandez,female,17,1,14,81.6,"45 Jennings Street , Algonquin, IL 60102"
Inez,Stephenson,female,17,5,17,100.0,"Murfreesboro, TN 37128, 109 Longbranch Street "
Kyra,Love,female,19,2,12,93.0,"747 Brookside Avenue , Thibodaux, LA 70301"
Emery,Shepherd,male,14,5,11,89.0,"26C Boston Court , Hudson, NH 03051"
Sade,Juarez,female,18,3,5,61.1,"Barberton, OH 44203, 82 New St. "
Aline,Bond,female,18,4,6,68.2,"1 Ashley Ave. , Lagrange, GA 30240"
Cyrus,Kelley,male,19,5,13,81.8,"Danvers, MA 01923, 9582 Glenholme Dr. "
Patrick,Bell,male,19,1,11,85.0,"16 North Hillside Road , Rock Hill, SC 29730"
Kuame,Gordon,male,18,1,16,83.5,"90 Woodside Street , Banning, CA 92220"
Yvette,Coleman,female,18,4,17,89.8,"20 Illinois St. , Hamtramck, MI 48212"
Ronan,Howell,male,19,3,4,68.0,"Elk River, MN 55330, 34 Saxon Rd. "
Courtney,Bryan,female,16,5,15,88.3,"49 Cambridge Street , Jeffersonville, IN 47130"
Tate,Fletcher,male,15,3,12,87.2,"827 Pine St. , Cedar Rapids, IA 52402"
Pascale,Freeman,female,16,5,15,96.4,"Westfield, MA 01085, 388 Blackburn Drive "
Morgan,Ayala,female,14,5,4,73.0,"41 Nichols Ave. , Norwich, CT 06360"
Declan,Manning,male,18,4,16,100.0,"7145 Main Drive , High Point, NC 27265"
Dana,Vang,female,17,4,14,88.7,"499 Bedford Ave. , Hyattsville, MD 20782"
Orlando,Mcguire,male,15,1,13,84.4,"9139 Elmwood St. , New Bedford, MA 02740"
Giselle,Estes,female,15,1,6,65.9,"70 Temple Road , Neenah, WI 54956"
Ryan,Hodge,male,17,1,4,60.9,"8 Oakland Dr. , Hialeah, FL 33010"
Kylee,Santana,female,18,4,10,90.3,"Unit 65 , Winston Salem, NC 27103"
Laith,Henderson,male,19,1,6,67.4,"6 E. New St. , Patchogue, NY 11772"
Sarah,Gibbs,female,15,5,9,71.3,"9369 Meadowbrook Street , Port Chester, NY 10573"
Hiroko,Parsons,female,14,3,17,95.4,"Rockford, MI 49341, 226 E. Arlington Avenue "
John,Branch,male,15,2,17,86.5,"621 Sherwood Drive , Huntington Station, NY 11746"
Inez,Vargas,female,16,2,19,93.4,"7366 Thatcher Ave. , Ypsilanti, MI 48197"
Ciaran,Brady,male,19,3,3,62.5,"9817 Winding Way Lane , Lincoln, NE 68506"
Elvis,Stewart,male,16,5,8,85.1,"9884 Green Hill Drive , Waukegan, IL 60085"
Elton,Sanchez,male,16,4,9,70.1,"1 Shipley St. , Fenton, MI 48430"
Bertha,Waller,female,19,5,8,80.5,"7272 Purple Finch Street , Forest Hills, NY 11375"
Cameron,Craig,female,16,4,11,76.7,"93 Glenlake St. , Oxnard, CA 93035"
Griffin,Woodward,male,19,5,14,92.5,"Dickson, TN 37055, 76 Arcadia St. "
Savannah,Sherman,female,14,3,16,87.3,"Lake Villa, IL 60046, 988 Tower Lane "
Sydnee,Carpenter,female,14,4,11,75.3,"771 Vale St. , Saint Charles, IL 60174"
Clarke,Crawford,male,18,1,8,77.8,"7654 Plymouth St. , Buffalo, NY 14215"
Aileen,Mcgee,female,19,5,10,85.4,"9431 Homewood Drive , Little Falls, NJ 07424"
Michael,Bell,male,15,3,7,64.1,"317 Ohio Dr. , New Hyde Park, NY 11040"
Ivana,Watts,female,16,5,9,87.4,"New Bern, NC 28560, 7531 Leeton Ridge St. "
Kerry,Mcbride,female,16,1,6,67.0,"8423 N. Summer St. , Tiffin, OH 44883"
Kasimir,Clarke,male,16,5,8,68.2,"8569 South Smoky Hollow Dr. , Upland, CA 91784"
Celeste,Alford,female,14,5,8,73.2,"Dekalb, IL 60115, 7464 Surrey Court "
Nyssa,Kent,female,17,5,4,76.1,"13 Hudson St. , Oshkosh, WI 54901"
Jolene,Rivers,female,14,5,10,79.3,"275 East Wood St. , Enterprise, AL 36330"
Bo,Miranda,female,18,1,11,82.8,"Lockport, NY 14094, 859 Golden Star Street "
Summer,Lang,female,15,3,12,85.8,"Depew, NY 14043, 865 Prospect St. "
Gloria,Morrison,female,15,1,10,88.0,"Fuquay Varina, NC 27526, 436 West Logan Drive "
Bethany,Fields,female,14,5,12,88.2,"378 Country Lane , Chatsworth, GA 30705"
Sonia,Kelly,female,17,4,7,83.6,"Linden, NJ 07036, 8075 Gregory Lane "
Noah,Suarez,male,16,1,12,82.6,"Altamonte Springs, FL 32714, 9828 Ridgewood Drive "
Travis,Avery,male,15,4,12,85.1,"160 Livingston Ave. , Birmingham, AL 35209"
Dai,Osborne,female,19,5,20,100.0,"Springfield Gardens, NY 11413, 7964 E. Ramblewood Rd. "
Rebekah,Skinner,female,16,2,13,81.7,"The Villages, FL 32162, 101 Oak Meadow Street "
Zorita,Oliver,female,16,2,12,93.1,"96 Crescent Dr. , York, PA 17402"
Tara,Townsend,female,14,1,9,71.0,"524 Jackson St. , Gainesville, VA 20155"
Kaitlin,Lane,female,15,3,10,71.0,"Drexel Hill, PA 19026, 618 Walt Whitman St. "
Preston,Paul,male,16,4,8,67.8,"20 Maple Circle , Rockville, MD 20850"
Kirk,Keller,male,16,4,6,77.0,"9469 West Manor Dr. , Stoughton, MA 02072"
Zeph,Gilmore,male,19,3,9,88.3,"8042 Highland Street , Stockbridge, GA 30281"
Rahim,Weaver,male,19,4,12,92.9,"847 Woodland Avenue , Waukegan, IL 60085"
Linus,Snow,male,18,5,17,88.4,"2 Stillwater St. , Manchester Township, NJ 08759"
Vladimir,Salinas,male,17,3,5,70.9,"9781 Union St. , Norwalk, CT 06851"
Wang,Reed,male,16,5,13,93.7,"83 Sycamore Avenue , Carpentersville, IL 60110"
Kaseem,Leon,male,18,1,5,67.1,"498 King St. , Owosso, MI 48867"
Yetta,Vasquez,female,17,2,6,77.3,"Muncie, IN 47302, 71 East Vernon Ave. "
Lacey,Tucker,female,17,4,16,87.5,"76 Holly Dr. , Summerville, SC 29483"
James,Mccormick,male,15,3,5,71.0,"8288 Mulberry Circle , Waynesboro, PA 17268"
Inga,Webster,female,14,3,10,75.9,"Piscataway, NJ 08854, 30 South 8th Street "
Eagan,Oliver,male,17,4,11,86.6,"7103 Green Ave. , Raeford, NC 28376"
Orson,Burton,male,18,3,17,96.6,"8105 Stonybrook St. , Graham, NC 27253"
Noelani,Villarreal,female,19,1,5,75.4,"17 Valley View St. , Cornelius, NC 28031"
Chester,Vance,male,17,1,5,60.1,"Windermere, FL 34786, 8605 South Shady Road "
Stuart,Powell,male,17,1,6,64.1,"4 Bishop Drive , Glen Cove, NY 11542"
Robert,Bass,male,16,4,9,73.8,"8583 Colonial Street , Wakefield, MA 01880"
Zephania,Dotson,male,16,4,14,98.1,"972 Highland St. , Tupelo, MS 38801"
Robin,Adkins,female,16,4,4,68.0,"45 West Washington Court , Waldorf, MD 20601"
Kamal,Wheeler,male,17,5,15,86.3,"Mcminnville, TN 37110, 932 Pilgrim Street "
William,Greene,male,19,4,11,84.0,"1 East William Street , Blacksburg, VA 24060"
Merritt,Donovan,male,16,5,7,83.1,"13 Marsh St. , Opa Locka, FL 33054"
Orla,Carlson,female,19,3,8,75.8,"983 Bowman Drive , Greenfield, IN 46140"
Byron,Buckner,male,16,2,13,92.9,"592 East William Lane , Ronkonkoma, NY 11779"
Aimee,Sheppard,female,14,3,12,87.0,"Toms River, NJ 08753, 67 East Wayne St. "
Daphne,Patel,female,19,1,10,82.2,"East Northport, NY 11731, 7073 Baker St. "
Clarke,Mills,male,17,2,9,83.1,"20 SE. Highland St. , Camas, WA 98607"
Kameko,Flynn,female,17,3,15,86.6,"911 Tanglewood St. , Halethorpe, MD 21227"
Kamal,Pacheco,male,16,1,14,84.1,"Lindenhurst, NY 11757, 55 Military Lane "
Kuame,Conrad,male,18,3,14,92.6,"621 W. Thorne Dr. , Hendersonville, NC 28792"
Erasmus,Maynard,male,17,4,15,87.3,"277 West Miles Ave. , Winchester, VA 22601"
Mufutau,Clayton,male,17,1,16,86.0,"Canonsburg, PA 15317, 92 10th St. "
Daria,Taylor,female,19,3,14,87.1,"Mason City, IA 50401, 894 County Street "
Hamilton,Mclean,male,16,3,14,82.0,"8594 Sycamore Drive , Berwyn, IL 60402"
Belle,Walter,female,19,4,14,85.7,"Fargo, ND 58102, 1 Santa Clara St. "
Honorato,Finley,male,17,5,9,77.6,"95 Beacon St. , Eden Prairie, MN 55347"
Josephine,Jennings,female,15,2,12,89.0,"548 Van Dyke Avenue , Coraopolis, PA 15108"
Quentin,Bryan,male,19,4,7,77.7,"Tualatin, OR 97062, 7892 Border Drive "
Lars,Hines,male,18,1,5,71.0,"Bowling Green, KY 42101, 24 Military Dr. "
Wade,Holden,male,15,3,12,92.6,"457 Glen Creek Dr. , Cranberry Twp, PA 16066"
Faith,Cotton,female,17,4,15,99.8,"42 Cherry St. , Loveland, OH 45140"
Bruno,Humphrey,male,16,3,12,76.8,"729 St Louis Street , Freeport, NY 11520"
Lacey,Nieves,female,18,1,2,57.9,"175 Rockaway St. , South Richmond Hill, NY 11419"
Odette,Herrera,female,16,5,6,82.8,"12 Blackburn Ave. , Dallas, GA 30132"
Davis,Reese,male,19,3,15,87.7,"545 Thatcher Court , Wakefield, MA 01880"
Wang,Dorsey,male,18,3,10,76.3,"76 Old Bear Hill Road , Liverpool, NY 13090"
Todd,Madden,male,19,4,13,89.8,"Lewis Center, OH 43035, 7509 Cross Ave. "
Oren,Porter,male,16,4,14,80.8,"8645 Cedar Street , Hazleton, PA 18201"
Sharon,Hull,female,14,5,8,79.0,"Logansport, IN 46947, 19 Jefferson Court "
Kareem,Hudson,male,18,4,16,98.6,"4 Glenlake Lane , Severn, MD 21144"
Unity,Preston,female,19,1,14,86.8,"Port Huron, MI 48060, 790 Amherst St. "
Ella,Cantrell,female,18,4,15,96.5,"Fernandina Beach, FL 32034, 76 Leatherwood Dr. "
Hanna,Burton,female,15,1,14,81.5,"Olympia, WA 98512, 71 Galvin Street "
Cody,Giles,male,15,5,9,79.2,"7067 Union Drive , Grand Blanc, MI 48439"
Latifah,Williamson,female,17,3,6,66.7,"8617 Pacific St. , Rockledge, FL 32955"
Aileen,Huff,female,16,4,13,96.5,"Emporia, KS 66801, 214 Pleasant Court "
Brittany,Odom,female,17,5,13,91.5,"Schererville, IN 46375, 8713 George Court "
Marny,Daniels,female,17,2,4,69.0,"Dedham, MA 02026, 9558 Sage Lane "
Dieter,Tyson,male,18,2,8,67.9,"356 Middle River Ave. , Port Richey, FL 34668"
Raja,Burt,male,17,3,8,82.6,"62 East Queen Road , Stow, OH 44224"
Irma,Bradley,female,14,3,6,66.2,"307 Devonshire Court , Carrollton, GA 30117"
Gray,Reilly,male,16,1,12,87.5,"Tualatin, OR 97062, 46 Second Ave. "
Pamela,Holder,female,16,4,4,61.8,"303 Hartford Road , Suitland, MD 20746"
Conan,Stout,male,19,5,6,70.0,"Alliance, OH 44601, 7940 S. Alton Dr. "
Stella,Phillips,female,18,1,8,66.1,"9824 W. Dogwood St. , Menomonee Falls, WI 53051"
Xenos,Snow,male,14,2,12,91.4,"623 Fairview St. , Baldwin, NY 11510"
Justin,Pierce,male,18,4,15,92.0,"431 Sherman St. , Flemington, NJ 08822"
Kareem,Munoz,male,15,1,9,81.4,"New Baltimore, MI 48047, 6 Surrey St. "
Ali,Underwood,male,18,1,13,89.5,"Natchez, MS 39120, 9971 Lake Street "
Bethany,Duke,female,19,5,9,79.4,"Burbank, IL 60459, 33 School Ave. "
Amaya,Green,female,17,1,19,99.2,"8117 Saxon Lane , Lawrence, MA 01841"
Wyatt,Marsh,male,17,1,6,74.7,"25 N. Brook St. , Glenview, IL 60025"
Carol,Sparks,female,17,2,17,91.1,"73 Mountainview St. , Neenah, WI 54956"
Kiona,Collier,female,14,4,11,84.0,"2 Carriage Street , Bowie, MD 20715"
Jocelyn,Ashley,female,14,3,9,73.4,"90 Brown St. , West Bloomfield, MI 48322"
Shellie,Murray,female,18,1,13,85.3,"7303 Durham Lane , Sioux Falls, SD 57103"
Talon,Rush,male,17,3,16,98.1,"131 Bear Hill Street , Lumberton, NC 28358"
Alana,Berry,female,17,3,11,87.5,"955 Evergreen St. , Holyoke, MA 01040"
Steel,Tanner,male,14,5,12,80.7,"Rockville, MD 20850, 872 Sunnyslope Rd. "
Elvis,Clayton,male,17,3,8,81.1,"777 Prairie Ave. , Dracut, MA 01826"
Silas,Paul,male,19,1,15,94.2,"7 Beechwood Dr. , Thomasville, NC 27360"
Yasir,Fowler,male,18,1,5,73.5,"9550 E. Baker St. , Vincentown, NJ 08088"
Breanna,Gillespie,female,19,1,12,82.5,"North Olmsted, OH 44070, 414 Harrison Dr. "
Nasim,Fernandez,male,16,2,14,83.8,"795 Eagle St. , Westwood, NJ 07675"
Kaitlin,Mccarthy,female,17,1,14,95.4,"Noblesville, IN 46060, 9439 Galvin St. "
Cassidy,Hogan,female,18,3,5,76.9,"Annapolis, MD 21401, 735 Rockwell St. "
